11359,51.9,1948,16.7,1021,2.03,1.2,60.8,504,20.08,2648,-3200,-552,48.07,51.93,2.58,16.67,-3.45,13.22,33.9,8.74,0.33,2.88,3.62,10.33,6.07,7.07,27.38,-4.72,-0.54,0.22,4.21,3.06,9.1,77.81,13.09,3.17,0.43,2.87,11,31.12,30.25,72.36,27.64,0.83,0.4,3.62,1.13,24.53,79.09,-16.43,14.88,0.43,0.33,0
8911,62.5,1,5.2,0,0.03,,,11,0.42,1,0,0,37.5,62.5,55.86,5.23,,100,41.1,2.89,0.93,2.69,3.16,8.58,8.58,7,2.79,3.13,1.26,63.18,13.41,4.56,81.15,3.32,0.19,0.68,10.05,52.54,63.27,,5.04,68.31,31.69,1.28,1.21,3.16,,53.71,5.37,,6.8,34.66,0.93,0
8899,72.3,51,17.7,16,0.2,1.12,,75,18.98,153,-556,-403,27.69,72.31,9.69,17.74,-20.92,-3.18,,5.25,0.09,0.48,2.12,1.06,2.72,10.82,192.26,-139.36,-25.38,0.99,1.42,0.7,3.1,92.38,4.52,,,2.67,3.86,43.28,5.59,52.73,47.27,0.8,0.62,2.12,0.92,63.69,,,5.73,0.1,0.09,1
351,77.8,522,36.4,309,4.28,0.46,10.8,72,19,484,-374,110,22.19,77.81,,36.38,-3.16,33.22,35.13,21.55,0.49,10.45,2.23,23.96,18.24,2.95,26.05,7.69,0.36,0.28,8.25,2.95,14.58,82.42,3,8.44,6.57,,19.69,18.26,17.29,55.23,44.77,0.74,0.43,2.23,0.41,74.26,260.36,-84.61,4.92,0.6,0.49,0
11271,30.4,75,9.2,40,1.47,0.46,31.4,27,10.18,84,-28,56,69.64,30.36,19.09,9.16,-1.46,7.7,36.34,4.9,1.15,5.66,2.65,15.21,7.56,13.51,3.42,6.89,1.41,6.94,16.46,2.61,45.4,22.84,0.67,6.47,8.3,0.02,17.48,35.14,9.58,62.2,37.8,2.6,1.34,2.65,0.93,47.98,30.51,105.81,7.61,5.22,1.15,0
4599,24.4,38,3.5,28,0.53,,,53,1.7,26,-28,-2,75.55,24.45,18.24,3.46,,3.46,25.23,2.55,1.42,3.62,9.17,38.75,14.36,5.97,2.5,-0.15,-0.06,11.4,32.35,2.49,46.23,5.28,14.51,6.52,14.83,14.51,36.17,,52.92,89.09,10.91,1.28,1.21,9.17,2.46,46.29,19.35,,7.89,25.98,1.42,1
504,35.1,-9,-5.1,-6,-0.18,,,32,4.54,39,-3,36,64.85,35.15,19.93,-5.1,2.66,-2.44,,-3.07,0.54,-1.65,2.4,-3.95,-3.81,-15.77,1.49,19.28,-6.27,47.52,6.64,3.97,73.75,4.79,2.75,3.98,5.48,21.91,31.37,22.48,4.51,58.36,41.64,2.35,1.73,2.4,0.54,67.08,55.33,184.71,5.44,9.64,0.54,0
10498,48,-51,-12.4,-85,-0.99,,,85,2.57,29,-150,-121,51.98,48.02,27.62,-12.4,-8,-20.41,,-20.7,0.56,-11.61,3.88,-36.13,-10.22,24.49,36.61,-29.52,1.43,27.52,6.32,1.72,38.42,47.3,3.98,5.34,8.62,4.42,19.73,39.33,15.17,74.24,25.76,1.95,1.71,3.88,1.53,33.15,55.13,9,11.01,1.3,0.56,0
12292,53.5,307,14.4,93,0.75,0.4,,125,37.21,997,-723,274,46.47,53.53,5.42,14.37,-6.99,7.38,40.83,4.37,0.26,1.11,1.75,1.97,2.4,17.14,33.83,12.83,2.94,5.8,4.92,0.32,11.04,88.72,0.24,1.31,1.94,0.4,3.94,32.26,6.63,42.83,57.17,2.8,2.72,1.75,0.56,78.6,39.02,,4.64,0.28,0.26,1
13069,21.5,410,10.1,239,2.44,1.12,45.1,98,13.07,552,-219,333,78.55,21.45,10.32,10.06,-1.12,8.94,33.53,5.88,1.15,6.74,2.89,18.13,10.18,-6.26,5.39,8.18,1.39,1.7,12.93,2.37,32.06,34.57,1.87,9.59,2.67,2.59,16.88,38.8,9.73,65.4,34.6,1.9,0.87,2.89,1.12,45.6,34.65,73.82,8,3.47,1.15,0
